data;tr;selic;ipca;dolar;
01/01/1995;2.10;0.00;1.70;0.85;
01/02/1995;1.85;3.63;1.02;0.84;
01/03/1995;2.29;2.60;1.55;0.89;
01/04/1995;3.46;4.26;2.43;0.91;
01/05/1995;3.24;4.25;2.67;0.90;
01/06/1995;2.88;4.04;2.26;0.91;
01/07/1995;2.99;4.02;2.36;0.93;
01/08/1995;2.60;3.84;0.99;0.94;
01/09/1995;1.93;3.32;0.99;0.95;
01/10/1995;1.65;3.09;1.41;0.96;
01/11/1995;1.43;2.88;1.47;0.96;
01/12/1995;1.34;2.78;1.56;0.97;
01/01/1996;1.25;2.58;1.34;0.97;
01/02/1996;0.96;2.35;1.03;0.98;
01/03/1996;0.81;2.22;0.35;0.99;
01/04/1996;0.65;2.07;1.26;0.99;
01/05/1996;0.58;2.01;1.22;0.99;
01/06/1996;0.60;1.98;1.19;1.00;
01/07/1996;0.58;1.93;1.11;1.01;
01/08/1996;0.62;1.97;0.44;1.01;
01/09/1996;0.66;1.90;0.15;1.02;
01/10/1996;0.74;1.86;0.30;1.02;
01/11/1996;0.81;1.80;0.32;1.03;
01/12/1996;0.87;1.80;0.47;1.04;
01/01/1997;0.74;1.73;1.18;1.04;
01/02/1997;0.66;1.67;0.50;1.05;
01/03/1997;0.63;1.64;0.51;1.06;
01/04/1997;0.62;1.66;0.88;1.06;
01/05/1997;0.63;1.58;0.41;1.07;
01/06/1997;0.65;1.61;0.54;1.07;
01/07/1997;0.65;1.60;0.22;1.08;
01/08/1997;0.62;1.59;-0.02;1.09;
01/09/1997;0.64;1.59;0.06;1.09;
01/10/1997;0.65;1.67;0.23;1.10;
01/11/1997;1.53;3.04;0.17;1.11;
01/12/1997;1.30;2.97;0.43;1.11;
01/01/1998;1.14;2.67;0.71;1.12;
01/02/1998;0.44;2.13;0.46;1.13;
01/03/1998;0.89;2.20;0.34;1.13;
01/04/1998;0.47;1.71;0.24;1.14;
01/05/1998;0.45;1.63;0.50;1.15;
01/06/1998;0.49;1.60;0.02;1.15;
01/07/1998;0.55;1.70;-0.12;1.16;
01/08/1998;0.37;1.48;-0.51;1.17;
01/09/1998;0.45;2.49;-0.22;1.18;
01/10/1998;0.88;2.94;0.02;1.19;
01/11/1998;0.61;2.63;-0.12;1.19;
01/12/1998;0.74;2.40;0.33;1.20;
01/01/1999;0.51;2.18;0.70;1.50;
01/02/1999;0.82;2.38;1.05;1.91;
01/03/1999;1.16;3.33;1.10;1.90;
01/04/1999;0.60;2.35;0.56;1.69;
01/05/1999;0.57;2.02;0.30;1.68;
01/06/1999;0.31;1.67;0.19;1.76;
01/07/1999;0.29;1.66;1.09;1.80;
01/08/1999;0.29;1.57;0.56;1.88;
01/09/1999;0.27;1.49;0.31;1.90;
01/10/1999;0.22;1.38;1.19;1.97;
01/11/1999;0.19;1.39;0.95;1.93;
01/12/1999;0.29;1.60;0.60;1.84;
01/01/2000;0.21;1.46;0.62;1.80;
01/02/2000;0.23;1.45;0.13;1.77;
01/03/2000;0.22;1.45;0.22;1.74;
01/04/2000;0.13;1.30;0.42;1.77;
01/05/2000;0.24;1.49;0.01;1.83;
01/06/2000;0.21;1.39;0.23;1.81;
01/07/2000;0.15;1.31;1.61;1.80;
01/08/2000;0.20;1.41;1.31;1.81;
01/09/2000;0.10;1.22;0.23;1.84;
01/10/2000;0.13;1.29;0.14;1.88;
01/11/2000;0.11;1.22;0.32;1.95;
01/12/2000;0.09;1.20;0.59;1.96;
01/01/2001;0.13;1.27;0.57;1.95;
01/02/2001;0.03;1.02;0.46;2.00;
01/03/2001;0.17;1.26;0.38;2.09;
01/04/2001;0.15;1.19;0.58;2.19;
01/05/2001;0.18;1.34;0.41;2.30;
01/06/2001;0.14;1.27;0.52;2.38;
01/07/2001;0.24;1.50;1.33;2.47;
01/08/2001;0.34;1.60;0.70;2.51;
01/09/2001;0.16;1.32;0.28;2.67;
01/10/2001;0.29;1.53;0.83;2.74;
01/11/2001;0.19;1.39;0.71;2.54;
01/12/2001;0.19;1.39;0.65;2.36;
01/01/2002;0.25;1.53;0.52;2.38;
01/02/2002;0.11;1.25;0.36;2.42;
01/03/2002;0.17;1.37;0.60;2.35;
01/04/2002;0.23;1.48;0.80;2.32;
01/05/2002;0.21;1.41;0.21;2.48;
01/06/2002;0.15;1.33;0.42;2.71;
01/07/2002;0.26;1.54;1.19;2.93;
01/08/2002;0.24;1.44;0.65;3.11;
01/09/2002;0.19;1.38;0.72;3.34;
01/10/2002;0.27;1.65;1.31;3.81;
01/11/2002;0.26;1.54;3.02;3.58;
01/12/2002;0.36;1.74;2.10;3.63;
01/01/2003;0.48;1.97;2.25;3.44;
01/02/2003;0.41;1.83;1.57;3.59;
01/03/2003;0.37;1.78;1.23;3.45;
01/04/2003;0.41;1.87;0.97;3.12;
01/05/2003;0.46;1.97;0.61;2.95;
01/06/2003;0.41;1.86;-0.15;2.88;
01/07/2003;0.54;2.08;0.20;2.88;
01/08/2003;0.40;1.77;0.34;3.00;
01/09/2003;0.33;1.68;0.78;2.92;
01/10/2003;0.32;1.64;0.29;2.86;
01/11/2003;0.17;1.34;0.34;2.91;
01/12/2003;0.18;1.37;0.52;2.92;
01/01/2004;0.12;1.27;0.76;2.85;
01/02/2004;0.04;1.08;0.61;2.93;
01/03/2004;0.17;1.38;0.47;2.90;
01/04/2004;0.08;1.18;0.37;2.91;
01/05/2004;0.15;1.23;0.51;3.10;
01/06/2004;0.17;1.23;0.71;3.13;
01/07/2004;0.19;1.29;0.91;3.04;
01/08/2004;0.20;1.29;0.69;3.00;
01/09/2004;0.17;1.25;0.33;2.89;
01/10/2004;0.11;1.21;0.44;2.85;
01/11/2004;0.11;1.25;0.69;2.79;
01/12/2004;0.24;1.48;0.86;2.72;
01/01/2005;0.18;1.38;0.58;2.69;
01/02/2005;0.09;1.22;0.59;2.60;
01/03/2005;0.26;1.53;0.61;2.70;
01/04/2005;0.20;1.41;0.87;2.58;
01/05/2005;0.25;1.50;0.49;2.45;
01/06/2005;0.29;1.59;-0.02;2.41;
01/07/2005;0.25;1.51;0.25;2.37;
01/08/2005;0.34;1.66;0.17;2.36;
01/09/2005;0.26;1.50;0.35;2.29;
01/10/2005;0.21;1.41;0.75;2.26;
01/11/2005;0.19;1.38;0.55;2.21;
01/12/2005;0.22;1.47;0.36;2.28;
01/01/2006;0.23;1.43;0.59;2.27;
01/02/2006;0.07;1.15;0.41;2.16;
01/03/2006;0.20;1.42;0.43;2.15;
01/04/2006;0.08;1.08;0.21;2.13;
01/05/2006;0.18;1.28;0.10;2.18;
01/06/2006;0.19;1.18;-0.21;2.25;
01/07/2006;0.17;1.17;0.19;2.19;
01/08/2006;0.24;1.26;0.05;2.16;
01/09/2006;0.15;1.06;0.21;2.17;
01/10/2006;0.18;1.09;0.33;2.15;
01/11/2006;0.12;1.02;0.31;2.16;
01/12/2006;0.15;0.99;0.48;2.15;
01/01/2007;0.21;1.08;0.44;2.14;
01/02/2007;0.07;0.87;0.44;2.10;
01/03/2007;0.18;1.05;0.37;2.09;
01/04/2007;0.12;0.94;0.25;2.03;
01/05/2007;0.16;1.03;0.28;1.98;
01/06/2007;0.09;0.91;0.28;1.93;
01/07/2007;0.14;0.97;0.24;1.88;
01/08/2007;0.14;0.99;0.47;1.97;
01/09/2007;0.03;0.80;0.18;1.90;
01/10/2007;0.11;0.93;0.30;1.80;
01/11/2007;0.05;0.84;0.38;1.77;
01/12/2007;0.06;0.84;0.74;1.79;
01/01/2008;0.10;0.93;0.54;1.77;
01/02/2008;0.02;0.80;0.49;1.73;
01/03/2008;0.04;0.84;0.48;1.71;
01/04/2008;0.09;0.90;0.55;1.69;
01/05/2008;0.07;0.88;0.79;1.66;
01/06/2008;0.11;0.96;0.74;1.62;
01/07/2008;0.19;1.07;0.53;1.59;
01/08/2008;0.15;1.02;0.28;1.61;
01/09/2008;0.19;1.10;0.26;1.80;
01/10/2008;0.25;1.18;0.45;2.17;
01/11/2008;0.16;1.02;0.36;2.27;
01/12/2008;0.21;1.12;0.28;2.40;
01/01/2009;0.18;1.05;0.48;2.31;
01/02/2009;0.04;0.86;0.55;2.31;
01/03/2009;0.14;0.97;0.20;2.31;
